client_id2,Region,Gender,Race,Ethnicty,question,response,qnum,order_vuln,order_vuln.norm
6fc,R05,Female,Indigenous,Non-Hispanic,How long has it been since you lived in your own place?,3 to 5 months,1,1,0.25
760,R05,Female,White,Non-Hispanic,How long has it been since you lived in your own place?,3 to 5 months,1,1,0.25
502,R05,Female,Black,Non-Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
f7a,R05,Female,Black,Non-Hispanic,How long has it been since you lived in your own place?,3 to 5 months,1,1,0.25
eae,R05,Female,White,Non-Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
fc3,R05,Female,White,Non-Hispanic,How long has it been since you lived in your own place?,3 to 5 months,1,1,0.25
3fa,R07,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
f68,R07,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
aac,R07,Female,Black,Non-Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
332,R07,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,Less than 3 months,1,0,0
d50,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
14e,R05,Female,Asian,Non-Hispanic,How long has it been since you lived in your own place?,6 to 11 months,1,2,0.5
c67,R07,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
065,R07,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,6 to 11 months,1,2,0.5
a4c,R05,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,Less than 3 months,1,0,0
ef1,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
1f2,R07,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,3 to 5 months,1,1,0.25
763,R05,Female,White,Non-Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
645,R05,Female,Black,Non-Hispanic,How long has it been since you lived in your own place?,Less than 3 months,1,0,0
52e,R05,Female,White,Non-Hispanic,How long has it been since you lived in your own place?,Less than 3 months,1,0,0
084,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
92f,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
c30,R05,Male,Asian,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
f67,R05,Female,White,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
677,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
7ef,R05,Female,Black,Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
cda,R05,Male,White,Hispanic,How long has it been since you lived in your own place?,3 to 5 months,1,1,0.25
93d,R05,Female,White,Non-Hispanic,How long has it been since you lived in your own place?,3 to 5 months,1,1,0.25
efc,R07,Female,Black,Non-Hispanic,How long has it been since you lived in your own place?,3 to 5 months,1,1,0.25
4d4,R05,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,Less than 3 months,1,0,0
93b,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
357,R07,Male,White,Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
3dc,R05,Female,White,Non-Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
e16,R05,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,6 to 11 months,1,2,0.5
794,R05,Female,Black,Non-Hispanic,How long has it been since you lived in your own place?,3 to 5 months,1,1,0.25
924,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
87f,R05,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",36 months (3 years) or more,2,4,1
5b3,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",36 months (3 years) or more,2,4,1
e17,R05,Female,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
48f,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",12 to 35 months (1-2 years),2,3,0.75
342,R07,Female,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
ab2,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",12 to 35 months (1-2 years),2,3,0.75
018,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
456,R05,Male,Indigenous,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",3 to 5 months,2,1,0.25
498,R05,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
ca5,R05,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
734,R05,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
e4a,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",12 to 35 months (1-2 years),2,3,0.75
331,R05,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
410,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",36 months (3 years) or more,2,4,1
773,R05,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",36 months (3 years) or more,2,4,1
6cd,R05,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
249,R05,Female,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",6 to 11 months,2,2,0.5
4a2,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",6 to 11 months,2,2,0.5
2c8,R05,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",36 months (3 years) or more,2,4,1
b16,R07,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",12 to 35 months (1-2 years),2,3,0.75
8d5,R07,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",36 months (3 years) or more,2,4,1
850,R05,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
c07,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",6 to 11 months,2,2,0.5
257,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",3 to 5 months,2,1,0.25
39b,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",12 to 35 months (1-2 years),2,3,0.75
4ed,R05,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",6 to 11 months,2,2,0.5
554,R07,Female,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",36 months (3 years) or more,2,4,1
68e,R05,Female,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",6 to 11 months,2,2,0.5
6b7,R05,Female,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",36 months (3 years) or more,2,4,1
687,R05,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",12 to 35 months (1-2 years),2,3,0.75
307,R05,Female,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",12 to 35 months (1-2 years),2,3,0.75
1e0,R05,Female,Asian,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",12 to 35 months (1-2 years),2,3,0.75
c72,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
b53,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",36 months (3 years) or more,2,4,1
d6b,R05,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",36 months (3 years) or more,2,4,1
b60,R05,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",36 months (3 years) or more,2,4,1
cd5,R07,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",36 months (3 years) or more,2,4,1
bd4,R05,Female,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",36 months (3 years) or more,2,4,1
791,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",12 to 35 months (1-2 years),2,3,0.75
9f5,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",12 to 35 months (1-2 years),2,3,0.75
8de,R05,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",12 to 35 months (1-2 years),2,3,0.75
94e,R05,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
0f8,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",12 to 35 months (1-2 years),2,3,0.75
b5a,R07,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",3 to 5 months,2,1,0.25
08a,R05,Female,White,Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",12 to 35 months (1-2 years),2,3,0.75
a9b,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",3 to 5 months,2,1,0.25
a0b,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",12 to 35 months (1-2 years),2,3,0.75
17a,R05,Female,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",3 to 5 months,2,1,0.25
5d0,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",6 to 11 months,2,2,0.5
8c8,R05,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
dbb,R05,Female,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",36 months (3 years) or more,2,4,1
574,R07,Female,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",3 to 5 months,2,1,0.25
b35,R07,Female,Multiple Races,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
969,R07,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",3 to 5 months,2,1,0.25
16b,R05,Female,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",12 to 35 months (1-2 years),2,3,0.75
ecb,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",12 to 35 months (1-2 years),2,3,0.75
6bb,R07,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
60f,R05,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
480,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",6 to 11 months,2,2,0.5
edd,R07,Female,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",6 to 11 months,2,2,0.5
e3c,R05,Female,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",3 to 5 months,2,1,0.25
6fc,R05,Female,Indigenous,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
760,R05,Female,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
502,R05,Female,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
f7a,R05,Female,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",3 to 5 months,2,1,0.25
eae,R05,Female,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
fc3,R05,Female,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",3 to 5 months,2,1,0.25
3fa,R07,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",12 to 35 months (1-2 years),2,3,0.75
f68,R07,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",12 to 35 months (1-2 years),2,3,0.75
aac,R07,Female,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",12 to 35 months (1-2 years),2,3,0.75
332,R07,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",3 to 5 months,2,1,0.25
d50,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",36 months (3 years) or more,2,4,1
14e,R05,Female,Asian,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",6 to 11 months,2,2,0.5
c67,R07,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",36 months (3 years) or more,2,4,1
065,R07,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",6 to 11 months,2,2,0.5
a4c,R05,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
ef1,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",36 months (3 years) or more,2,4,1
1f2,R07,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
763,R05,Female,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
645,R05,Female,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
52e,R05,Female,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
084,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",12 to 35 months (1-2 years),2,3,0.75
92f,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",36 months (3 years) or more,2,4,1
c30,R05,Male,Asian,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
f67,R05,Female,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",12 to 35 months (1-2 years),2,3,0.75
677,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",36 months (3 years) or more,2,4,1
7ef,R05,Female,Black,Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",36 months (3 years) or more,2,4,1
cda,R05,Male,White,Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",3 to 5 months,2,1,0.25
93d,R05,Female,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",3 to 5 months,2,1,0.25
efc,R07,Female,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",3 to 5 months,2,1,0.25
4d4,R05,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",Less than 3 months,2,0,0
93b,R05,Male,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",3 to 5 months,2,1,0.25
357,R07,Male,White,Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",3 to 5 months,2,1,0.25
3dc,R05,Female,White,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",3 to 5 months,2,1,0.25
e16,R05,Male,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",6 to 11 months,2,2,0.5
794,R05,Female,Black,Non-Hispanic,"How many months have you been without a home, such as living outside or in a shelter?",3 to 5 months,2,1,0.25
924,R05,Male,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
87f,R05,Male,Black,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
5b3,R05,Male,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
e17,R05,Female,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
48f,R05,Male,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
342,R07,Female,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
ab2,R05,Male,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
018,R05,Male,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
456,R05,Male,Indigenous,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
498,R05,Male,Black,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
ca5,R05,Male,Black,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
734,R05,Male,Black,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
e4a,R05,Male,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
331,R05,Male,Black,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
410,R05,Male,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
773,R05,Male,Black,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
6cd,R05,Male,Black,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
249,R05,Female,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
4a2,R05,Male,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
2c8,R05,Male,Black,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
b16,R07,Male,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
8d5,R07,Male,Black,Non-Hispanic,Where did you sleep last night?,Unsheltered,3,1,1
850,R05,Male,Black,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
c07,R05,Male,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
257,R05,Male,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
39b,R05,Male,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
4ed,R05,Male,Black,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
554,R07,Female,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
68e,R05,Female,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
6b7,R05,Female,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
687,R05,Male,Black,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
307,R05,Female,Black,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
1e0,R05,Female,Asian,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
c72,R05,Male,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
b53,R05,Male,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
d6b,R05,Male,Black,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
b60,R05,Male,Black,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
cd5,R07,Male,White,Non-Hispanic,Where did you sleep last night?,Unsheltered,3,1,1
bd4,R05,Female,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
791,R05,Male,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
9f5,R05,Male,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
8de,R05,Male,Black,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
94e,R05,Male,Black,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
0f8,R05,Male,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
b5a,R07,Male,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
08a,R05,Female,White,Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
a9b,R05,Male,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
a0b,R05,Male,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
17a,R05,Female,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
5d0,R05,Male,White,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
8c8,R05,Male,Black,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
dbb,R05,Female,Black,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
574,R07,Female,Black,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
b35,R07,Female,Multiple Races,Non-Hispanic,Where did you sleep last night?,"Sheltered (ES, TH)",3,0,0
